,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
16,264547,https://www.airbnb.com/rooms/264547,20240917031253,2024-09-17,city scrape,Steps From the Best Chicago Offers,"Hotel type amenities (in excess) upon arrival...please reference the text in 'The Space' section for a detailed description.  You won't find a better deal for a premium condo such as this, in which case hotels would charge in excess of $500/night!","It is Chicago's hottest area, centrally located from all the best venues in the city as well.  The neighborhood is thriving, is extremely safe, and simply a joy to live in and traverse.",https://a0.muscache.com/pictures/miso/Hosting-264547/original/b5cfa6de-35fe-496b-9165-aa88ea56ee05.jpeg,1387948,https://www.airbnb.com/users/show/1387948,Dominic,2011-11-09,"Chicago, IL","Welcome to Chicago.  This area is known as Fulton River District, and is truly in the middle of it all, distanced enough to be quiet as well.  I am certain you will enjoy your stay.  Reach out with any questions.",within a day,100%,0%,f,https://a0.muscache.com/im/users/1387948/profile_pic/1320842484/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1387948/profile_pic/1320842484/original.jpg?aki_policy=profile_x_medium,West Loop/Greektown,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Near West Side,,41.88413,-87.64315,Entire condo,Entire home/apt,3,1.5,1.5 baths,2.0,2.0,"[""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Free dryer \u2013 In unit"", ""Breakfast"", ""Lake access"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Paid parking off premises"", ""Long term stays allowed"", ""Central air conditioning"", ""Lockbox"", ""Elevator"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""City skyline view"", ""HDTV with Amazon Prime Video, Apple TV, Netflix, premium cable"", ""Private hot tub"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Host greets you"", ""Kitchen"", ""Indoor fireplace: gas"", ""Hot water""]",$191.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,27,57,87,362,2024-09-17,63,0,0,2012-05-07,2021-10-17,4.84,4.79,4.79,4.95,4.92,4.87,4.76,City registration pending,f,1,1,0,0,0.42
18,345075,https://www.airbnb.com/rooms/345075,20240917031253,2024-09-17,city scrape,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",Located near Lake Michigan and in the University of Chicago neighborhood with easy access to transportation to the center of the City.,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ1MDc1/original/8ec0fa04-f5cc-47db-b28f-d7f358659770.jpeg,1746524,https://www.airbnb.com/users/show/1746524,Patricia,2012-02-13,"Chicago, IL","I am a photographer and my husband is a writer.  We have lived in Hyde Park for 35 years and raised two children here.  We run, bike, and swim with our two labs, Ella and Finn, and love to hike.  We have lived in this apartment for 17 years and did extensive rehab. We garden in a community garden in the neighborhood and do a lot of cooking.",within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/5e1c38e2-99a0-4802-999b-4453119c1788.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5e1c38e2-99a0-4802-999b-4453119c1788.jpg?aki_policy=profile_x_medium,Kenwood,2,5,"['email', 'phone']",t,t,,Kenwood,,41.80774,-87.59459,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Wifi"", ""Heating"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace"", ""Host greets you"", ""Kitchen"", ""Breakfast""]",$115.00,2,7,2,2,7,7,2.0,7.0,,t,11,37,67,342,2024-09-17,289,10,0,2012-03-27,2024-07-14,4.96,4.96,4.98,4.96,4.98,4.88,4.9,R22000076583,f,1,0,1,0,1.9
33,739495,https://www.airbnb.com/rooms/739495,20240917031253,2024-09-17,city scrape,Lovely 2 bedroom in Lincoln Square,"This spacious light garden (lower level )unit is 2 BR & is great for singles & families traveling. It's child friendly with a pack & play & high chair.  There are 2 BR & a 20"" high airbed for extra  guests. Near a park, shops restaurants, CTA trains.  The unit is cleaned and sanitized according to Airbnb’s 5-step enhanced cleaning process","The Neighborhood<br /><br />Lincoln Square is a, vibrant neighborhood with many shops, eateries, bars and cafes. The Historic ""El"" Train Line has 2 conveniently located stops (on the Brown Line) in Lincoln Sq. if you wish to explore the shops of downtown Chicago or take in a Cubs game at Wrigley Field. There is easy access to the lakefront just 2 miles east for an impressive ride along Lake Michigan. Check out Lincoln Square's antique shops, many different ethnic restaurants, theater groups, or the concert schedule at the famous ""Old Town School of Folk Music"" for upcoming performances. I leave a current copy of the Reader which has the week’s events listed.  <br /><br />Bowmansville is a neighborhood within Lincoln Square community and is also close to Andersonville which is a Swedish neighborhood top rated Chicago stop filled with restaurants, shops, the Swedish Museum, Women and Children's Bookstore and much more.   The unit's major cross streets closet too are Admen and Foster.  Th",https://a0.muscache.com/pictures/19309443/b624a9ef_original.jpg,3867687,https://www.airbnb.com/users/show/3867687,Janet,2012-10-14,"Chicago, IL","My name is Janet and I am a native Chicagoan and know the the city well. I work as a Licensed Clinical Psychologist in a Private Alternative Health Practice, teach, research and also serve as a consultant to our state government .  I am also interested in studying energy in groups and social systems both here and abroad. I like alternative medicine, meditation, art, theater ,good food  and also to hang out with friends. During weekdays, I am hardly ever at home,often only to sleep.  I am open-minded and very sociable and if you are interested in learning about the city and restaurants and sights to see, I can be a valuable resource.  If you have any question or need further information please contact me I will be pleased to answer you.  It is helpful to know something about you and the reason for your visit to Chicago.   There are some guests that are here for the first time and are interested in local restaurants, ideas of current activities in Chicago while others are here visiting family and friends and want only minimum contact. 

The unit is separate and has its own temperature system and I am not readily available in the building as I am working.  So you will have access to me via texts and there are a list of emergency contacts within a few minutes of the building.  We like to make your stay as comfortable as we can..  
Warm regards,  
Janet",within a day,90%,56%,f,https://a0.muscache.com/im/pictures/user/22ab18e6-c6a4-41ec-bda6-cd6652f91d7e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22ab18e6-c6a4-41ec-bda6-cd6652f91d7e.jpg?aki_policy=profile_x_medium,Lincoln Square,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Lincoln Square,,41.9765,-87.68144,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Refrigerator"", ""BBQ grill"", ""Outlet covers"", ""Beach view"", ""First aid kit"", ""Self check-in"", ""Heating"", ""Fast wifi \u2013 211 Mbps"", ""Fire pit"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Shared beach access"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Pack \u2019n play/Travel crib"", ""Crib - always at the listing"", ""Lockbox"", ""Free washer \u2013 In building"", ""High chair"", ""Hot water kettle"", ""Outdoor dining area"", ""Body soap"", ""Stainless steel gas stove"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Window guards"", ""Fire extinguisher"", ""City skyline view"", ""Luggage dropoff allowed"", ""Barbecue utensils"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Toaster"", ""Shared patio or balcony"", ""42 inch HDTV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Private backyard \u2013 Fully fenced"", ""Board games"", ""Beach essentials"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$162.00,7,31,7,7,31,31,7.0,31.0,,t,1,27,57,237,2024-09-17,217,3,0,2013-07-21,2024-06-27,4.87,4.94,4.85,4.89,4.88,4.8,4.88,R24000116754,f,1,1,0,0,1.6
49,1242709,https://www.airbnb.com/rooms/1242709,20240917031253,2024-09-17,city scrape,Beautiful/Large SE Evanston Apt,"Large beautifully furnished apt at a great price and in a great neighborhood close to public transportation, shops, and restaurants.<br /> ",,https://a0.muscache.com/pictures/51612269/c89d3a03_original.jpg,1254363,https://www.airbnb.com/users/show/1254363,Mark,2011-10-06,"Evanston, IL",I travel often since I study political science and conduct research on the contemporary politics and international relations of the Balkans and the Middle East. I spend part of the year in the Chicago area and the rest abroad. ,within a day,100%,46%,f,https://a0.muscache.com/im/users/1254363/profile_pic/1329077230/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1254363/profile_pic/1329077230/original.jpg?aki_policy=profile_x_medium,,2,5,"['email', 'phone']",t,t,,Rogers Park,,42.01938,-87.67985,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Bidet"", ""Refrigerator"", ""Bikes"", ""Stainless steel oven"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Hangers"", ""Private patio or balcony"", ""Bathtub"", ""Air conditioning"", ""Long term stays allowed"", ""Coffee maker: drip coffee maker"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Stainless steel stove"", ""Blender"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Shared beach access"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$149.00,7,1125,7,7,1125,1125,7.0,1125.0,,t,17,47,77,352,2024-09-17,17,1,1,2015-04-25,2024-08-20,4.12,3.88,3.94,4.65,4.47,4.24,4.29,,f,1,1,0,0,0.15
74,1931880,https://www.airbnb.com/rooms/1931880,20240917031253,2024-09-17,city scrape,Charming Mid-Century Designed Apt in E Lakeview,"Welcome to this cute mid-century decorated corner of East Lakeview. Within a short walk are: a fitness center, a large grocery store, many restaurants and cafés, tons of adorable little iconic shops and bars. Trains and buses lie within a very short walk. And Lake Michigan, is just a 15 minute walk from the front door. For those planning a longer stay in the city, there are few listings, few neighborhoods, more suited to a lovely stay with maximal access to all this wonderful city has to offer.","You can shop for all kinds of quirky things (e.g., rare books or records), eat at little ethnic holes in the wall, or have coffee at Intelligentsia and feel smart discussing esoteric things (probably with my friends since I know all of the regulars). Also it is within walking distance of both Boys Town and Wrigleyville, two of the great going out areas in the city. The apartment has plenty of space for two people and has a really nice view. It has a well appointed kitchen (please treat the knives with care; they are razor sharp and are my babies).  There are busses that go straight to the museums and other places of interest just out the front door or within easy walking distance, ditto for the city trains. Finally, it is in a secure building with laundry facilities on site.",https://a0.muscache.com/pictures/a32db993-a25f-4a32-bd51-8e30e38a8719.jpg,4995578,https://www.airbnb.com/users/show/4995578,George,2013-02-06,"Chicago, IL",I like to travel. A lot.  But I like doing repeat visits to cities.   ,within a day,50%,0%,f,https://a0.muscache.com/im/pictures/user/33df432b-d46e-482c-b327-380af7e90082.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33df432b-d46e-482c-b327-380af7e90082.jpg?aki_policy=profile_x_medium,Lake View East,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Lake View,,41.93564,-87.6424,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Elevator"", ""Portable air conditioning"", ""Wifi"", ""Beach access \u2013 Beachfront"", ""TV"", ""Heating"", ""Dryer"", ""Kitchen"", ""Washer""]",$125.00,32,365,32,32,365,365,32.0,365.0,,t,30,60,90,90,2024-09-17,1,0,0,2022-09-05,2022-09-05,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,f,1,1,0,0,0.04
87,2515629,https://www.airbnb.com/rooms/2515629,20240917031253,2024-09-17,previous scrape,"Cozy, Quiet, Private bathroom in private room","Room for rent.  Has outer room with microwave, mini fridge, desk and chair. Cool neighborhood close to everything like downtown,  Riotfest,  Fulton Market, Illinois Medical District includes UIC hospital, Rush hospital, VA hospital for starters, Union Park for North Coast Music, PitchFork, Wicker Park, Humboldt Park, Grant Park, Lollapalooza, Jazz Festival, United Center for events like DNC 2024.  Long stays, remote workers, nurses, professors all welcome.  Wifi, cable. Private bathroom","So close to everything.  Downtown, parks and festivals. Major investment in West Loop.  Close to Fulton Market, West Town, Little Italy, Greektown, Chinatown, Bronzeville, Art Institute, Chicago Bean,  Ukranian Village, Wicker Park, Logan Square, Bucktown, Union Park, Garfield Park, Grant Park, Humboldt Park, Lincoln Park, Navy Pier.  Close to great festivals like Pitchfork, Riotfest, North Coast Music, Festival of Life, and Lalapolooza.  Close to the UIC medical district including Rush Hospital and Veterans hospital.  Close to hot Randolph street restaurants like the Girl and the Goat, Soho and Green Street Smoked Meats.  Located in hot United Center area where the Democratic National Convention will be held in 2024. Close to good restaurants like Au Cheval,  LaJosie, Flat Iron. Stan Donuts not far away in Bucktown/Wicker Park.  Close to Millinuem Park where the Gospel Festival, Jazz Festival, Blue Festival are held.  Logan Square is not far.  If you like creeky wood floors and stairs",https://a0.muscache.com/pictures/miso/Hosting-2515629/original/1e96a994-4607-4a30-9cd6-87176c6f6e2c.jpeg,12877384,https://www.airbnb.com/users/show/12877384,Tanya,2014-03-06,"Chicago, IL","I am a host who loves sharing my house and make it available for long and short-term rentals. My house is very sharable. I provide a clean, neat and nice unit, and will try to accommodate any special requests by guest. I'm very sociable, well mannered, and an assuring AirBnB Host. I love praising God and have a thankful attitude toward life.  Great sense of humor too.  Life is short so get busy living.  I live close to downtown, Hot United Center, Grant Park, Union Park. In Chicago the summer time rocks with all the outdoor festivals like North Coast Music, PitchFork ,Lalapooloza, Jazz festival,  Gospel festiva just to name a fewl.  Close to Bucktown, Wicker Park, Logan Square and Humboldt Park for Cinco de mio, largest hospital conglomerate in the US including UIC hospital, Rush Hospital, Stroeger Hospital, and Veterans Hospital. Top Travel Destinations now. Includes spots I have yet to visit.
Buenes Aires, Rio, Prague, Bora, Bora, Malta, Maaorca, Sardina, Sicily, South Africa, Egypt, Kaui, Alaska, Hong Kong. Morocco, Shang Hi.  Favorite travel destinations are Barcelona, Rome, Capri, ibiza",within a day,100%,89%,f,https://a0.muscache.com/im/pictures/user/105ffef3-17ae-4f12-b65f-77eab9030642.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/105ffef3-17ae-4f12-b65f-77eab9030642.jpg?aki_policy=profile_x_medium,Garfield Park,2,4,"['email', 'phone']",t,t,Neighborhood highlights,East Garfield Park,,41.88152,-87.69768,Private room in townhouse,Private room,1,,1 private bath,,,"[""Refrigerator"", ""Wifi"", ""Heating"", ""HDTV with HBO Max, premium cable"", ""Exercise equipment"", ""Shampoo"", ""Dryer \u2013 In building"", ""Hangers"", ""Private entrance"", ""Private patio or balcony"", ""Outdoor furniture"", ""Long term stays allowed"", ""Outdoor dining area"", ""EV charger"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Washer \u2013\u00a0In building"", ""Mini fridge"", ""City skyline view"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Not fully fenced"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace: electric"", ""Host greets you"", ""Microwave"", ""Hot water""]",,7,90,6,7,90,90,7.0,90.0,,t,6,14,14,163,2024-09-17,182,15,2,2014-07-22,2024-09-14,4.77,4.81,4.74,4.92,4.93,4.37,4.83,R21000073422,f,2,1,1,0,1.47
89,2543231,https://www.airbnb.com/rooms/2543231,20240917031253,2024-09-17,city scrape,Private room near Downtown,,http://www.theatlantic.com/sponsored/lincoln-continental/outposts-pilsen-is-an-explosion-of-color-in-a-gray-city/1226/,https://a0.muscache.com/pictures/33934763/eb6813c3_original.jpg,2850286,https://www.airbnb.com/users/show/2850286,Amado,2012-07-06,"Chicago, IL","I'm originally from Texas, lived in New York for a while and currently reside in Chicago. I work for a school district and enjoy traveling in the summer. I also enjoy Photography, riding motorcycles and songwriting.",within a day,50%,,f,https://a0.muscache.com/im/pictures/user/a47db523-22e7-4f2d-8947-b6235e67d917.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a47db523-22e7-4f2d-8947-b6235e67d917.jpg?aki_policy=profile_x_medium,Pilsen,1,8,"['email', 'phone']",t,t,Neighborhood highlights,Lower West Side,,41.85669,-87.65132,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Room-darkening shades"", ""Air conditioning"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Keypad"", ""TV with Netflix"", ""Kitchen"", ""Hot water""]",$65.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,29,59,89,179,2024-09-17,246,0,0,2014-03-31,2022-09-01,4.89,4.91,4.89,4.92,4.96,4.59,4.84,City registration pending,f,1,0,1,0,1.93
109,3445991,https://www.airbnb.com/rooms/3445991,20240917031253,2024-09-17,city scrape,"#55-Clean,Great area. free parking, 24h check in.","Northwest side of Chicago. A very nice and safe. Park right behind home with Tennis courts, swimming pool, and movie in the park.deck, fire pit, bikes free wi-fi, free parking<br /><br />great public transportation with addison bus 1 block north and Belmont bus 2 blocks south.",great safe neighborhood. close to shopping and food,https://a0.muscache.com/pictures/43616461/b2c87374_original.jpg,13389580,https://www.airbnb.com/users/show/13389580,Ed,2014-03-21,"Chicago, IL","I am a very nice outgoing professional who enjoys life. I enjoy Sail boat, Bicycle, Motorcycles, travel and specially dancing. I am very involved in the dancing community in Chicago.",within a day,89%,43%,f,https://a0.muscache.com/im/pictures/user/cb091670-72e6-4b22-964c-1c906cddc161.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cb091670-72e6-4b22-964c-1c906cddc161.jpg?aki_policy=profile_x_medium,Dunning,1,17,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dunning,,41.94418,-87.79895,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Lock on bedroom door"", ""Shampoo"", ""Private entrance"", ""TV"", ""Air conditioning"", ""Washer"", ""Smoking allowed"", ""Hair dryer"", ""Essentials"", ""Fire extinguisher"", ""Private hot tub"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Keypad"", ""Park view"", ""Kitchen"", ""Hot water""]",$35.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,10,40,69,69,2024-09-17,6,0,0,2014-09-28,2022-04-20,4.17,4.33,4.33,4.5,4.5,4.17,4.17,City registration pending,f,1,0,1,0,0.05
142,4370895,https://www.airbnb.com/rooms/4370895,20240917031253,2024-09-17,city scrape,Sun-drenched Vintage Flat with a Lake view,"Set in Chicago's most desirable neighborhood; the condo boasts gorgeous views, a comfy interior and is walking distance to the best dining and shopping in the city. Next to the Ambassador Hotel and Mansion row you'll feel as fancy as your surroundings!<br /><br />**ANY and ALL PETS MUST be approved  prior to booking and will all incur an additional  $120 dollar cleaning fee to be requested by host prior to check in**","The Gold Coast is Chicago's primer neighborhood.  Amazing food, beautiful real estate and within walking distance of all the best attractions!",https://a0.muscache.com/pictures/b8316063-5e24-497d-9e2f-d03ba1088c97.jpg,10691960,https://www.airbnb.com/users/show/10691960,Kayla,2013-12-18,"Connecticut, United States","Tech Entrepreneur that loves great food, good friends, and the Windy City. ",within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/35d5fb85-495c-424f-a9e8-f8ab1278e209.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/35d5fb85-495c-424f-a9e8-f8ab1278e209.jpg?aki_policy=profile_x_medium,Gold Coast,1,4,"['email', 'phone']",t,t,Neighborhood highlights,Near North Side,,41.90487,-87.62747,Entire rental unit,Entire home/apt,7,1.0,1 bath,2.0,3.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Fireplace guards"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Self check-in"", ""Dryer"", ""Stove"", ""Smart lock"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Lake view"", ""TV"", ""Air conditioning"", ""Washer"", ""Body soap"", ""Elevator"", ""Coffee maker"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Dishes and silverware"", ""City skyline view"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Beach essentials"", ""Freezer"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$271.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,28,58,88,178,2024-09-17,96,0,0,2014-12-07,2022-06-06,4.6,4.73,4.24,4.77,4.81,4.88,4.59,City registration pending,f,1,1,0,0,0.81
147,4592031,https://www.airbnb.com/rooms/4592031,20240917031253,2024-09-17,city scrape,UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S),"Beautiful private house for share on quiet street in the heart of Uptown. Moments from Aragon, Riviera, Green Mill, etc. Amazing neighborhood that's close to all! Unbelievably quick walk to CTA (Red Line) & buses! Tons of space here including private en suite bathroom. Other amenities include: WiFi, private TV in rooms private fridge/microwave in rooms, washer/dryer access, back deck with grill, hammock & koi pond, basement storage with bikes to borrow upon request & gated parking if needed.","Boystown to Andersonville, and everything in-between! Hollywood beach a quick bike-ride away.",https://a0.muscache.com/pictures/536709ef-2688-438a-b167-21ebcec5d24d.jpg,23803571,https://www.airbnb.com/users/show/23803571,Tomasso,2014-11-16,"Chicago, IL",,within a day,100%,81%,t,https://a0.muscache.com/im/pictures/user/6bd0fe0c-73c5-4dbc-a307-e35aab2a0e50.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6bd0fe0c-73c5-4dbc-a307-e35aab2a0e50.jpg?aki_policy=profile_x_medium,Uptown,1,1,"['email', 'phone']",t,f,Neighborhood highlights,Uptown,,41.96574,-87.65747,Private room in townhouse,Private room,4,2.0,2 shared baths,2.0,2.0,"[""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Lockbox"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Free street parking"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$101.00,1,28,2,2,28,28,2.0,28.0,,t,9,37,64,154,2024-09-17,144,11,1,2017-02-12,2024-09-01,4.95,4.97,4.83,4.99,5.0,4.92,4.92,R21000074243,f,1,0,1,0,1.56
